iter	Passed	Remaining
0	141	141143
1	142	71160
2	143	47837
3	145	36152
4	146	29163
5	147	24497
6	149	21156
7	150	18655
8	151	16711
9	153	15155
10	154	13882
11	155	12816
12	157	11928
13	158	11154
14	159	10491
15	161	9908
16	162	9391
17	163	8931
18	165	8522
19	166	8160
20	167	7825
21	169	7518
22	170	7240
23	171	6985
24	173	6753
25	174	6536
26	175	6333
27	177	6146
28	178	5971
29	180	5820
30	181	5667
31	182	5527
32	184	5393
33	185	5265
34	186	5147
35	187	5034
36	189	4925
37	190	4825
38	191	4727
39	193	4634
40	194	4548
41	195	4465
42	197	4385
43	198	4313
44	199	4242
45	201	4172
46	202	4105
47	203	4042
48	205	3979
49	206	3922
50	207	3867
51	209	3811
52	210	3759
53	211	3710
54	213	3665
55	214	3619
56	216	3574
57	217	3530
58	218	3487
59	219	3445
60	221	3408
61	222	3370
62	224	3332
63	225	3296
64	226	3262
65	228	3228
66	229	3194
67	230	3155
68	231	3124
69	232	3093
70	234	3063
71	235	3034
72	236	3006
73	238	2978
74	239	2950
75	240	2924
76	241	2900
77	243	2874
78	244	2851
79	245	2827
80	247	2803
81	248	2783
82	249	2761
83	251	2739
84	252	2714
85	253	2693
86	254	2669
87	255	2648
88	256	2629
89	258	2610
90	259	2591
91	260	2574
92	262	2557
93	263	2541
94	264	2523
95	266	2507
96	267	2490
97	268	2473
98	270	2458
99	271	2442
100	272	2427
101	273	2407
102	274	2393
103	276	2378
104	277	2364
105	278	2350
106	280	2337
107	281	2323
108	282	2310
109	283	2297
110	285	2284
111	286	2272
112	287	2260
113	289	2249
114	290	2237
115	291	2223
116	293	2211
117	294	2200
118	295	2187
119	296	2176
120	298	2165
121	299	2154
122	300	2139
123	301	2128
124	302	2120
125	304	2110
126	305	2101
127	306	2088
128	307	2079
129	309	2069
130	310	2059
131	311	2050
132	313	2041
133	314	2031
134	315	2023
135	317	2014
136	318	2006
137	319	1995
138	320	1987
139	322	1978
140	323	1970
141	324	1962
142	326	1954
143	327	1946
144	328	1938
145	329	1930
146	331	1922
147	332	1915
148	333	1907
149	335	1900
150	336	1892
151	337	1885
152	339	1878
153	340	1870
154	341	1863
155	343	1857
156	344	1850
157	345	1843
158	347	1836
159	348	1830
160	349	1823
161	351	1816
162	352	1810
163	353	1803
164	355	1797
165	356	1790
166	357	1784
167	359	1778
168	360	1772
169	361	1766
170	363	1759
171	364	1753
172	365	1748
173	367	1742
174	368	1736
175	369	1730
176	371	1726
177	373	1723
178	375	1720
179	376	1715
180	377	1707
181	378	1701
182	380	1696
183	381	1690
184	382	1685
185	383	1680
186	385	1674
187	386	1669
188	387	1663
189	389	1658
190	390	1654
191	392	1650
192	393	1645
193	394	1640
194	396	1635
195	397	1630
196	399	1626
197	400	1621
198	401	1616
199	402	1611
200	404	1607
201	405	1602
202	406	1597
203	408	1593
204	409	1588
205	410	1583
206	412	1579
207	413	1574
208	414	1569
209	416	1565
210	417	1562
211	419	1558
212	420	1553
213	421	1549
214	423	1544
215	424	1540
216	425	1536
217	427	1531
218	428	1527
219	429	1523
220	431	1519
221	432	1515
222	433	1511
223	435	1507
224	436	1502
225	437	1498
226	438	1494
227	440	1490
228	441	1486
229	442	1482
230	444	1478
231	445	1475
232	447	1471
233	448	1467
234	449	1463
235	450	1459
236	452	1455
237	453	1451
238	454	1447
239	455	1443
240	457	1439
241	458	1435
242	459	1432
243	461	1428
244	462	1425
245	463	1421
246	464	1417
247	466	1413
248	467	1410
249	468	1406
250	470	1402
251	471	1399
252	472	1395
253	474	1392
254	475	1388
255	476	1384
256	477	1381
257	479	1378
258	480	1374
259	481	1371
260	483	1367
261	484	1364
262	485	1360
263	487	1357
264	488	1354
265	489	1351
266	490	1347
267	492	1344
268	493	1340
269	494	1337
270	496	1334
271	497	1331
272	498	1327
273	500	1325
274	501	1323
275	503	1320
276	504	1316
277	505	1313
278	507	1310
279	508	1307
280	509	1304
281	511	1301
282	512	1298
283	513	1295
284	515	1292
285	516	1289
286	517	1286
287	519	1283
288	520	1280
289	521	1277
290	523	1274
291	524	1271
292	525	1268
293	527	1265
294	528	1262
295	529	1260
296	531	1257
297	532	1254
298	533	1251
299	534	1248
300	536	1245
301	537	1242
302	538	1239
303	540	1236
304	541	1233
305	542	1230
306	543	1227
307	545	1224
308	546	1221
309	547	1218
310	549	1216
311	550	1213
312	551	1211
313	553	1208
314	555	1207
315	556	1204
316	557	1201
317	558	1198
318	560	1196
319	561	1193
320	562	1190
321	564	1187
322	565	1184
